complaint,sentiment,category
Street lighting improved on Linking Road road. Feeling safer now.,0,Traffic Light Issue
Traffic lights at Gandhi Nagar junction are working perfectly now. Great improvement!,0,Road Damage
Road sign missing near SV Road school zone. Children at risk!,2,Pothole
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Road Damage
There is construction work happening on Connaught Place road.,1,Sign Missing/Damaged
Road closure scheduled for Brigade Road bypass for bridge inspection.,1,Flooding
the road in nehru street is full of potholes. government please fix!,2,Pothole
Road sign missing near Nehru Street school zone. Children at risk!,2,Flooding
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
The road in MG Road is full of potholes. Government please fix!,2,Pothole
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Flooding
Road damage near Linking Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Huge pothole on Brigade Road road causing accidents. No action taken!,2,Flooding
Speed limit has been changed to 40 kmph near SV Road.,1,Pothole
The pothole on Nehru Street road was fixed quickly. Thank you!,0,Traffic Light Issue
Road sign missing near MG Road school zone. Children at risk!,2,Sign Missing/Damaged
Road closure scheduled for Old Airport Road bypass for bridge inspection.,1,Road Damage
New traffic rules implemented at Old Airport Road junction from today.,1,Other
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Road sign missing near Linking Road school zone. Children at risk!,2,Traffic Light Issue
Speed limit has been changed to 40 kmph near Nehru Street.,1,Traffic Light Issue
Speed limit has been changed to 40 kmph near Anna Salai.,1,Other
There is construction work happening on Brigade Road road.,1,Traffic Light Issue
The road on MG Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Pothole
New road signs installed in SV Road. Very helpful for drivers.,0,Sign Missing/Damaged
Appreciate the fast response to the complaint about Anna Salai road.,0,Sign Missing/Damaged
No streetlights on Brigade Road road. Very unsafe at night!,2,Sign Missing/Damaged
Road sign missing near Old Airport Road school zone. Children at risk!,2,Flooding
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Pothole
Street lighting improved on Linking Road road. Feeling safer now.,0,Sign Missing/Damaged
The municipality has announced repairs for Old Airport Road road next week.,1,Illegal Parking
Appreciate the fast response to the complaint about Brigade Road road.,0,Traffic Light Issue
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Pothole
The new road markings on Old Airport Road street are very clear.,0,Other
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
No streetlights on Linking Road road. Very unsafe at night!,2,Road Damage
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Flooding
Severe flooding on Linking Road road every time it rains. Pathetic!,2,Road Damage
Appreciate the fast response to the complaint about Rajiv Chowk road.,0,Other
The municipality has announced repairs for MG Road road next week.,1,Noise Pollution
no streetlights on old airport road road. very unsafe at night!,2,Road Damage
New traffic rules implemented at Brigade Road junction from today.,1,Sign Missing/Damaged
The road in Nehru Street is full of potholes. Government please fix!,2,Traffic Light Issue
Road closure scheduled for Connaught Place bypass for bridge inspection.,1,Noise Pollution
Road sign missing near Nehru Street school zone. Children at risk!,2,Traffic Light Issue
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Road Damage
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Road Damage
Road closure scheduled for Gandhi Nagar bypass for bridge inspection.,1,Other
New road signs installed in Nehru Street. Very helpful for drivers.,0,Road Damage
Appreciate the fast response to the complaint about Brigade Road road.,0,Road Damage
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Road Damage
New traffic rules implemented at Connaught Place junction from today.,1,Illegal Parking
Road damage near Connaught Place hospital is causing problems for ambulances!,2,Road Damage
the new road markings on old airport road street are very clear.,0,Traffic Light Issue
Road sign missing near MG Road school zone. Children at risk!,2,Sign Missing/Damaged
No streetlights on Old Airport Road road. Very unsafe at night!,2,Traffic Light Issue
Appreciate the fast response to the complaint about SV Road road.,0,Other
The road in Linking Road is full of potholes. Government please fix!,2,Traffic Light Issue
The new road markings on Connaught Place street are very clear.,0,Traffic Light Issue
Traffic lights at SV Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
Road widening project at Anna Salai is going well. Good job!,0,Other
Traffic lights at MG Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
The municipality has announced repairs for Gandhi Nagar road next week.,1,Sign Missing/Damaged
New traffic rules implemented at Old Airport Road junction from today.,1,Sign Missing/Damaged
The road on Brigade Road is completely damaged. Immediate repair needed!,2,Flooding
Traffic signal at MG Road is under maintenance.,1,Traffic Light Issue
Road diversion in effect near MG Road due to pipeline work.,1,Traffic Light Issue
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
New traffic rules implemented at SV Road junction from today.,1,Traffic Light Issue
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Road Damage
road sign missing near old airport road school zone. children at risk!,2,Road Damage
The pothole on Brigade Road road was fixed quickly. Thank you!,0,Sign Missing/Damaged
The road in Brigade Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Anna Salai.,1,Pothole
Traffic lights at MG Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Street lighting improved on Anna Salai road. Feeling safer now.,0,Sign Missing/Damaged
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Pothole
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Flooding
Traffic lights at Nehru Street junction are working perfectly now. Great improvement!,0,Road Damage
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Flooding
Road sign missing near Anna Salai school zone. Children at risk!,2,Flooding
The road on Brigade Road is completely damaged. Immediate repair needed!,2,Road Damage
the road on linking road is completely damaged. immediate repair needed!,2,Flooding
Street lighting improved on Connaught Place road. Feeling safer now.,0,Road Damage
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Road Damage
The road in Anna Salai is full of potholes. Government please fix!,2,Pothole
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Road Damage
Road diversion in effect near MG Road due to pipeline work.,1,Flooding
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Pothole
Traffic lights at Gandhi Nagar junction are working perfectly now. Great improvement!,0,Traffic Light Issue
There is construction work happening on SV Road road.,1,Pothole
Road damage near Gandhi Nagar hospital is causing problems for ambulances!,2,Sign Missing/Damaged
The road on SV Road is completely damaged. Immediate repair needed!,2,Road Damage
The road on Brigade Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Road Damage
The new road markings on Linking Road street are very clear.,0,Traffic Light Issue
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
No streetlights on Connaught Place road. Very unsafe at night!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Anna Salai.,1,Other
Road sign missing near Nehru Street school zone. Children at risk!,2,Traffic Light Issue
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Pothole
Road closure scheduled for Rajiv Chowk bypass for bridge inspection.,1,Noise Pollution
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Pothole
Road widening project at Connaught Place is going well. Good job!,0,Road Damage
Traffic signal at Linking Road is under maintenance.,1,Other
Road damage near SV Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Road damage near SV Road hospital is causing problems for ambulances!,2,Flooding
Road damage near Linking Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
speed limit has been changed to 40 kmph near sv road.,1,Road Damage
road damage near mg road hospital is causing problems for ambulances!,2,Traffic Light Issue
Road widening project at Anna Salai is going well. Good job!,0,Traffic Light Issue
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
The road on MG Road is completely damaged. Immediate repair needed!,2,Road Damage
The pothole on SV Road road was fixed quickly. Thank you!,0,Other
The new road markings on SV Road street are very clear.,0,Road Damage
Traffic signal at Rajiv Chowk is under maintenance.,1,Traffic Light Issue
There is construction work happening on Brigade Road road.,1,Noise Pollution
The municipality has announced repairs for Brigade Road road next week.,1,Pothole
Garbage dumped on Linking Road road. Municipality is not cleaning!,2,Flooding
Traffic light at Connaught Place is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Road damage near Gandhi Nagar hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Pothole
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Flooding
New traffic rules implemented at Nehru Street junction from today.,1,Illegal Parking
Road damage near Linking Road hospital is causing problems for ambulances!,2,Pothole
Road damage near Linking Road hospital is causing problems for ambulances!,2,Flooding
Traffic lights at Nehru Street junction are working perfectly now. Great improvement!,0,Traffic Light Issue
The road in Old Airport Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
New traffic rules implemented at Gandhi Nagar junction from today.,1,Pothole
Road widening project at Linking Road is going well. Good job!,0,Traffic Light Issue
Road widening project at Brigade Road is going well. Good job!,0,Traffic Light Issue
The municipality has announced repairs for Old Airport Road road next week.,1,Flooding
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Traffic Light Issue
